,short_name,latest_market_value,highest_market_value,current_club,position,main_position,secondary_position,age,height,league_country,foot,player_agent,outfitter,league,on_loan_from,contract_expires,appearances,goals,assists,yellow,second_yellow,red,minutes_played,goals_conceded,clean_sheets,last_appearances,last_goals,last_yellow,last_second_yellow,last_red,last_goals_conceded,last_clean_sheets,last_assists,last_minutes_played,country,country_2
1368,Luca Gagliano,220000.0,220000.0,Cagliari Calcio,Forward - Centre-Forward,Centre-Forward,0,20.0,1.8252542000658893,Italy,left,unknown,unknown,Serie A,0,30.06.2021,20,11,1,2,1,0,1569,0,0,20,6,1,0,1,0,0,0,1015,Italy,0
1369,Salvatore Sirigu,7150000.0,23650000.0,Torino FC,Goalkeeper,Goalkeeper,0,33.0,1.92,Italy,right,Carlo Pallavicino,Nike,Serie A,0,30.06.2022,44,0,0,4,0,0,4020,76,9,38,0,1,0,0,37,16,0,3351,Italy,0
1370,Vanja MilinkoviÄ-SaviÄ,798000.0,2200000.0,Torino FC,Goalkeeper,Goalkeeper,0,23.0,2.02,Italy,right,DOO Magnum,unknown,Serie A,0,30.06.2021,3,0,0,0,0,0,270,6,1,12,0,1,1,0,23,3,0,1065,Serbia,1
1371,Samir Ujkani,220000.0,3850000.0,Torino FC,Goalkeeper,Goalkeeper,0,32.0,1.86,Italy,right,no agent,unknown,Serie A,0,30.06.2021,1,0,0,0,0,0,90,3,0,5,0,0,0,0,7,1,0,404,Kosovo,1
1372,Antonio Rosati,220000.0,3080000.0,Torino FC,Goalkeeper,Goalkeeper,0,37.0,1.95,Italy,right,Alessandro Lucci - WSA,Nike,Serie A,0,30.06.2021,1,0,0,0,0,0,90,1,0,0,0,0,0,0,0,0,0,0,Italy,0
1373,Armando Izzo,17600000.0,27500000.0,Torino FC,Defender - Centre-Back,Centre-Back,1,28.0,1.83,Italy,right,Paolo Palermo,unknown,Serie A,0,30.06.2024,37,3,0,6,1,1,3207,0,0,39,4,6,0,0,0,0,1,3432,Italy,0
1374,Nicolas N'Koulou,12100000.0,22000000.0,Torino FC,Defender - Centre-Back,Centre-Back,1,30.0,1.84,Italy,right,Maxime Nana,unknown,Serie A,0,30.06.2021,38,1,0,4,1,0,3275,0,0,38,2,6,1,0,0,0,0,3370,Cameroon,0
1375,Lyanco,7150000.0,8800000.0,Torino FC,Defender - Centre-Back,Centre-Back,0,23.0,1.87,Italy,right,Pro Manager Sports & Marketing,unknown,Serie A,0,30.06.2024,18,0,0,5,0,0,1189,0,0,20,1,1,2,0,0,0,0,1577,Brazil,1
1376,Bremer,3850000.0,4950000.0,Torino FC,Defender - Centre-Back,Centre-Back,0,23.0,1.88,Italy,right,Base Soccer Agency Ltd,unknown,Serie A,0,30.06.2023,35,5,3,5,2,0,3019,0,0,7,0,1,0,0,0,0,0,293,Brazil,0
1377,Koffi Djidji,3520000.0,5500000.0,Torino FC,Defender - Centre-Back,Centre-Back,0,27.0,1.84,Italy,right,no agent,unknown,Serie A,0,30.06.2023,19,0,0,0,0,0,1005,0,0,19,0,2,0,0,0,0,0,1569,Cote d'Ivoire,1
1378,Cristian Ansaldi,4400000.0,13200000.0,Torino FC,Defender - Left-Back,Left-Back,1,33.0,1.81,Italy,both,Pedro Aldave,unknown,Serie A,0,30.06.2021,32,5,7,11,0,0,2176,0,0,25,3,3,0,0,0,0,2,1906,Argentina,1
1379,Ola Aina,8800000.0,11000000.0,Torino FC,Defender - Right-Back,Right-Back,1,23.0,1.84,Italy,right,Elite Project Group Ltd,adidas,Serie A,0,30.06.2023,37,0,3,9,0,0,2347,0,0,32,1,6,0,1,0,0,3,2265,Nigeria,1
1380,Lorenzo De Silvestri,3080000.0,6600000.0,Torino FC,Defender - Right-Back,Right-Back,1,32.0,1.86,Italy,right,Sergio Berti,unknown,Serie A,0,31.08.2020,37,3,1,2,0,0,2984,0,0,34,2,3,0,0,0,0,4,2606,Italy,0
1381,Wilfried Stephane Singo,165000.0,165000.0,Torino FC,Defender - Right-Back,Right-Back,1,19.0,1.9,Italy,right,Maxime Nana,unknown,Serie A,0,30.06.2022,24,2,3,3,0,0,1679,0,0,14,2,0,0,0,0,0,0,1183,Cote d'Ivoire,0
1382,TomÃ¡s RincÃ³n,6050000.0,9900000.0,Torino FC,Midfielder - Defensive Midfield,Defensive Midfield,1,32.0,1.77,Italy,right,Go Pro Sport Management,unknown,Serie A,0,30.06.2021,39,1,4,13,0,0,3107,0,0,37,4,15,0,0,0,0,0,2994,Venezuela,0
1383,Daniele Baselli,8250000.0,11000000.0,Torino FC,Midfielder - Central Midfield,Central Midfield,1,28.0,1.82,Italy,right,Gr Sports,unknown,Serie A,0,30.06.2022,21,0,4,5,0,0,1693,0,0,37,5,5,0,0,0,0,3,2602,Italy,0
1384,Soualiho MeÃ¯tÃ©,7700000.0,14300000.0,Torino FC,Midfielder - Central Midfield,Central Midfield,1,26.0,1.87,Italy,right,unknown,unknown,Serie A,0,30.06.2023,40,0,3,6,1,0,2740,0,0,38,2,7,0,1,0,0,3,2874,France,1
1385,Sasa Lukic,3520000.0,4400000.0,Torino FC,Midfielder - Central Midfield,Central Midfield,1,24.0,1.83,Italy,right,Friends & Football International LLC,Nike,Serie A,0,30.06.2023,36,1,0,7,0,1,2280,0,0,27,2,7,0,0,0,0,0,1098,Serbia,0
1386,Michel Ndary Adopo,220000.0,220000.0,Torino FC,Midfielder - Central Midfield,Central Midfield,0,20.0,1.87,Italy,right,unknown,unknown,Serie A,0,30.06.2023,10,0,0,0,0,0,629,0,0,25,1,1,0,0,0,0,5,1883,France,1
1387,Ãlex Berenguer,5280000.0,6600000.0,Torino FC,Forward - Left Winger,Left Winger,1,25.0,1.75,Italy,right,YOU FIRST SPORTS,unknown,Serie A,0,30.06.2022,36,6,4,5,0,0,2363,0,0,34,2,5,0,0,0,0,4,1662,Spain,0
1388,Vincenzo Millico,1980000.0,2200000.0,Torino FC,Forward - Left Winger,Left Winger,1,20.0,1.74,Italy,right,unknown,unknown,Serie A,0,30.06.2023,16,1,0,0,0,0,299,0,0,29,29,2,0,0,0,0,9,2291,Italy,0
1389,Simone Verdi,14300000.0,27500000.0,Torino FC,Forward - Right Winger,Right Winger,1,28.0,1.74,Italy,both,Donato Orgnoni,adidas,Serie A,1,30.06.2023,34,2,8,4,0,0,2208,0,0,24,4,0,0,0,0,0,3,811,Italy,0
1390,Simone Edera,880000.0,1650000.0,Torino FC,Forward - Right Winger,Right Winger,1,23.0,1.74,Italy,left,Giuseppe Galli,unknown,Serie A,0,30.06.2023,13,1,1,2,1,0,394,0,0,8,1,1,0,0,0,0,0,363,Italy,0
1391,Andrea Belotti,35200000.0,44000000.0,Torino FC,Forward - Centre-Forward,Centre-Forward,0,26.0,1.81,Italy,right,unknown,adidas,Serie A,0,30.06.2022,44,22,4,5,0,0,3764,0,0,39,17,5,0,0,0,0,1,3480,Italy,0
1392,Simone Zaza,7700000.0,27500000.0,Torino FC,Forward - Centre-Forward,Centre-Forward,1,29.0,1.86,Italy,left,AGB Sport Management,Nike,Serie A,0,30.06.2023,31,9,5,9,0,0,2177,0,0,30,4,8,0,1,0,0,4,1515,Italy,0
1393,Lucas BoyÃ©,1050000.0,2750000.0,Torino FC,Forward - Centre-Forward,Centre-Forward,1,24.0,1.83,Italy,right,Relatives,unknown,Serie A,0,30.06.2022,24,2,1,3,0,0,886,0,0,36,6,3,0,0,0,0,2,1605,Argentina,1
1394,Vitalie Damascan,798000.0,1320000.0,Torino FC,Forward - Centre-Forward,Centre-Forward,0,21.0,1.8,Italy,right,iFootball,unknown,Serie A,0,30.06.2021,23,8,1,3,0,0,1422,0,0,14,5,1,0,0,0,0,1,700,Moldova,1
1395,Andrea Consigli,3080000.0,8800000.0,US Sassuolo,Goalkeeper,Goalkeeper,0,33.0,1.89,Italy,right,PDP s.r.l.  Pasqualin DâAmico Partners,unknown,Serie A,0,30.06.2022,32,0,0,1,0,0,2880,55,6,37,0,2,0,1,57,12,0,3304,Italy,0
1397,Alessandro Russo,220000.0,220000.0,US Sassuolo,Goalkeeper,Goalkeeper,0,19.0,1.93,Italy,right,Gr Sports,unknown,Serie A,0,30.06.2024,10,0,0,1,0,0,900,12,3,31,0,3,0,0,53,3,0,2820,Italy,0
1398,Gianluca Pegolo,165000.0,2200000.0,US Sassuolo,Goalkeeper,Goalkeeper,0,39.0,1.83,Italy,left,P&P Sport Management S.A.M.,unknown,Serie A,0,31.08.2020,5,0,0,0,0,0,450,4,2,5,0,1,0,0,7,1,0,382,Italy,0
1399,Gian Marco Ferrari,8800000.0,15400000.0,US Sassuolo,Defender - Centre-Back,Centre-Back,0,28.0,1.89,Italy,left,P&P Sport Management S.A.M.,Puma,Serie A,0,30.06.2023,24,0,2,5,0,0,1986,0,0,32,4,9,0,0,0,0,0,2880,Italy,0
1400,Marlon,7150000.0,11000000.0,US Sassuolo,Defender - Centre-Back,Centre-Back,0,24.0,1.82,Italy,right,macospo,adidas,Serie A,0,30.06.2023,23,0,0,8,0,0,1818,0,0,18,1,3,1,0,0,0,0,1510,Brazil,0
1401,Filippo Romagna,5280000.0,7700000.0,US Sassuolo,Defender - Centre-Back,Centre-Back,1,23.0,1.86,Italy,right,TMP SOCCER srl,unknown,Serie A,1,31.08.2020,18,0,0,3,0,0,1476,0,0,21,0,2,0,0,0,0,0,1743,Italy,0
1402,Vlad Chiriches,5280000.0,12100000.0,US Sassuolo,Defender - Centre-Back,Centre-Back,1,30.0,1.84,Italy,right,Pietro Chiodi Soccer M.,Nike,Serie A,1,30.06.2023,9,0,0,0,0,0,708,0,0,6,0,1,0,0,0,0,0,372,Romania,0
1403,Giangiacomo Magnani,3520000.0,5500000.0,US Sassuolo,Defender - Centre-Back,Centre-Back,0,24.0,1.91,Italy,left,TMP SOCCER srl,unknown,Serie A,0,30.06.2023,11,1,0,3,0,0,348,0,0,22,0,3,0,0,0,0,1,1784,Italy,0
1404,RogÃ©rio,6930000.0,11000000.0,US Sassuolo,Defender - Left-Back,Left-Back,1,22.0,1.78,Italy,left,Prattes Group,unknown,Serie A,0,30.06.2023,18,1,1,7,0,0,1202,0,0,35,1,10,0,1,0,0,1,2841,Brazil,0
1405,Georgios Kyriakopoulos,2640000.0,3300000.0,US Sassuolo,Defender - Left-Back,Left-Back,1,24.0,1.82,Italy,left,SPORTS CONNECTION,Nike,Serie A,1,30.06.2024,28,0,3,4,0,0,1815,0,0,30,3,5,1,0,0,0,1,2300,Greece,0
1406,Alessandro Tripaldelli,495000.0,550000.0,US Sassuolo,Defender - Left-Back,Left-Back,1,21.0,1.82,Italy,left,Luigi Lauro SBM srl,unknown,Serie A,0,30.06.2022,3,0,0,0,0,0,192,0,0,8,2,0,0,0,0,0,0,537,Italy,0
1407,Federico Peluso,440000.0,5500000.0,US Sassuolo,Defender - Left-Back,Left-Back,1,36.0,1.88,Italy,left,PLAYER MANAGEMENT SRL,unknown,Serie A,0,30.06.2021,24,0,2,5,0,1,1600,0,0,19,1,7,0,0,0,0,0,1588,Italy,0
1408,Mert MÃ¼ldÃ¼r,4950000.0,5500000.0,US Sassuolo,Defender - Right-Back,Right-Back,1,21.0,1.84,Italy,both,HAGMAYR Sportmanagement,unknown,Serie A,0,30.06.2024,29,3,3,5,0,0,1717,0,0,41,1,11,0,0,0,0,6,2892,Turkey,1
1409,Jeremy Toljan,3850000.0,6600000.0,US Sassuolo,Defender - Right-Back,Right-Back,1,26.0,1.82,Italy,right,EMG Mundial,unknown,Serie A,1,30.06.2021,30,1,2,8,0,0,2275,0,0,15,0,3,1,0,0,0,1,1031,Germany,1
1410,Francesco Magnanelli,715000.0,3300000.0,US Sassuolo,Midfielder - Defensive Midfield,Defensive Midfield,1,35.0,1.81,Italy,right,TMP SOCCER srl,unknown,Serie A,0,30.06.2021,22,0,0,5,0,0,1392,0,0,28,1,3,1,0,0,0,0,2039,Italy,0
1411,Manuel Locatelli,17050000.0,18700000.0,US Sassuolo,Midfielder - Central Midfield,Central Midfield,1,22.0,1.8,Italy,right,Castelnovo,unknown,Serie A,0,30.06.2023,34,0,4,9,0,0,2671,0,0,31,3,8,0,0,0,0,4,2028,Italy,0
1412,Pedro Obiang,6050000.0,11000000.0,US Sassuolo,Midfielder - Central Midfield,Central Midfield,1,28.0,1.86,Italy,right,P&P Sport Management S.A.M.,unknown,Serie A,0,30.06.2023,27,1,1,11,0,0,1849,0,0,29,0,1,0,0,0,0,1,1404,Equatorial Guinea,1
1413,Mehdi Bourabia,3080000.0,4400000.0,US Sassuolo,Midfielder - Central Midfield,Central Midfield,1,29.0,1.83,Italy,right,EXCELLENCE SPORT SAS,unknown,Serie A,0,30.06.2021,20,2,3,6,1,0,1094,0,0,34,1,7,1,0,0,0,0,2027,Morocco,1
1414,Hamed Junior TraorÃ¨,14850000.0,16500000.0,US Sassuolo,Midfielder - Attacking Midfield,Attacking Midfield,1,20.0,1.77,Italy,both,SA Futura,unknown,Serie A,1,30.06.2021,33,5,1,3,0,0,1749,0,0,33,2,4,0,0,0,0,2,2299,Cote d'Ivoire,0
1415,Filip Djuricic,2200000.0,7700000.0,US Sassuolo,Midfielder - Attacking Midfield,Attacking Midfield,1,28.0,1.81,Italy,right,EXCELLENCE SPORT SAS,unknown,Serie A,0,30.06.2022,30,5,6,6,0,0,1674,0,0,26,2,1,1,0,0,0,2,1485,Serbia,0
1416,Jeremie Boga,17600000.0,22000000.0,US Sassuolo,Forward - Left Winger,Left Winger,1,23.0,1.74,Italy,right,First Access Sports,unknown,Serie A,0,30.06.2022,35,11,4,0,0,0,2608,0,0,27,3,0,0,0,0,0,1,1474,Cote d'Ivoire,1
1417,Lukas Haraslin,1760000.0,2200000.0,US Sassuolo,Forward - Left Winger,Left Winger,1,24.0,1.82,Italy,right,CSM Agency,unknown,Serie A,1,30.06.2022,35,6,5,7,0,0,2132,0,0,38,5,5,0,0,0,0,8,2637,Slovakia,0
1418,Domenico Berardi,20900000.0,27500000.0,US Sassuolo,Forward - Right Winger,Right Winger,1,26.0,1.83,Italy,left,Simone Seghedoni,unknown,Serie A,0,30.06.2024,32,14,10,6,0,1,2591,0,0,37,10,6,0,1,0,0,4,3058,Italy,0
1419,Enrico Brignola,2750000.0,4950000.0,US Sassuolo,Forward - Second Striker,Second Striker,1,21.0,1.8,Italy,left,PLAYER MANAGEMENT SRL,unknown,Serie A,0,30.06.2023,5,0,0,1,0,0,129,0,0,10,1,5,0,0,0,0,0,393,Italy,0
1420,GrÃ©goire Defrel,10450000.0,13200000.0,US Sassuolo,Forward - Centre-Forward,Centre-Forward,1,29.0,1.79,Italy,left,GP Soccer and Management Srl,Nike,Serie A,1,0,17,3,3,1,0,0,977,0,0,39,12,2,0,0,0,0,2,2514,Martinique,1
1421,Francesco Caputo,6050000.0,7700000.0,US Sassuolo,Forward - Centre-Forward,Centre-Forward,0,33.0,1.81,Italy,right,"Fedele, Gaetano",unknown,Serie A,0,30.06.2022,37,21,7,3,0,0,3026,0,0,39,16,3,0,0,0,0,3,3510,Italy,0
1422,Jens Odgaard,2530000.0,2750000.0,US Sassuolo,Forward - Centre-Forward,Centre-Forward,1,21.0,1.88,Italy,left,Pro Athletes,unknown,Serie A,0,30.06.2022,28,7,1,0,0,0,2207,0,0,5,2,0,0,0,0,0,0,333,Denmark,0
1423,Giacomo Raspadori,688000.0,770000.0,US Sassuolo,Forward - Centre-Forward,Centre-Forward,1,20.0,1.72,Italy,both,TMP SOCCER srl,Nike,Serie A,0,30.06.2022,13,2,0,0,0,0,351,0,0,28,15,2,0,0,0,0,2,2316,Italy,0
1424,Ionut Radu,10450000.0,16500000.0,Parma Calcio 1913,Goalkeeper,Goalkeeper,0,23.0,1.88,Italy,right,Gr Sports,unknown,Serie A,1,31.08.2020,19,0,0,1,0,0,1740,37,2,33,0,0,0,0,46,6,0,2970,Romania,0
1425,Luigi Sepe,4400000.0,5500000.0,Parma Calcio 1913,Goalkeeper,Goalkeeper,0,29.0,1.85,Italy,left,M.A.R.A.T. Football Management,adidas,Serie A,1,30.06.2024,35,0,0,1,0,0,3150,54,5,38,0,1,0,0,60,10,0,3420,Italy,0
1426,Simone Colombi,715000.0,1650000.0,Parma Calcio 1913,Goalkeeper,Goalkeeper,0,29.0,1.88,Italy,right,TMP SOCCER srl,unknown,Serie A,0,30.06.2022,6,0,0,0,0,0,540,7,1,20,0,1,0,0,35,2,0,1771,Italy,0
1427,Simone Iacoponi,1320000.0,1650000.0,Parma Calcio 1913,Defender - Centre-Back,Centre-Back,1,33.0,1.8,Italy,right,Football Company Srl,unknown,Serie A,0,30.06.2022,38,3,0,7,0,0,3170,0,0,39,0,4,0,0,0,0,0,3439,Italy,0
1428,Kastriot Dermaku,880000.0,1100000.0,Parma Calcio 1913,Defender - Centre-Back,Centre-Back,0,28.0,1.94,Italy,right,Relatives,unknown,Serie A,0,30.06.2023,19,0,0,3,0,0,1209,0,0,34,1,11,0,1,0,0,2,3014,Albania,1
1429,Bruno Alves,880000.0,19800000.0,Parma Calcio 1913,Defender - Centre-Back,Centre-Back,0,38.0,1.89,Italy,right,Gestifute,Nike,Serie A,0,30.06.2021,34,0,0,5,0,0,2760,0,0,33,4,8,1,0,0,0,1,2924,Portugal,1
1430,Riccardo Gagliolo,2640000.0,3300000.0,Parma Calcio 1913,Defender - Left-Back,Left-Back,1,30.0,1.8,Italy,left,AC Sport Consulting,unknown,Serie A,0,30.06.2022,35,3,2,7,0,0,2865,0,0,35,0,8,0,0,0,0,1,3136,Sweden,1
1431,Giuseppe Pezzella,2640000.0,3300000.0,Parma Calcio 1913,Defender - Left-Back,Left-Back,1,22.0,1.87,Italy,left,M.A.R.A.T. Football Management,unknown,Serie A,1,30.06.2024,25,0,0,2,0,0,1207,0,0,10,0,1,0,1,0,0,1,369,Italy,0
1432,Vasco Regini,798000.0,3850000.0,Parma Calcio 1913,Defender - Left-Back,Left-Back,1,29.0,1.85,Italy,left,M.A.R.A.T. Football Management,unknown,Serie A,1,31.08.2020,6,0,0,0,0,0,267,0,0,6,0,0,0,0,0,0,0,260,Italy,0
1433,Matteo Darmian,7150000.0,16500000.0,Parma Calcio 1913,Defender - Right-Back,Right-Back,1,30.0,1.83,Italy,right,TMP SOCCER srl,unknown,Serie A,0,30.06.2023,34,1,1,6,0,0,2685,0,0,7,0,0,0,0,0,0,0,533,Italy,0
1434,Vincent Laurini,1210000.0,2200000.0,Parma Calcio 1913,Defender - Right-Back,Right-Back,1,31.0,1.73,Italy,right,M.A.R.A.T. Football Management,unknown,Serie A,0,30.06.2022,18,0,3,5,0,0,1129,0,0,17,0,5,0,0,0,0,0,998,France,1
1435,Hernani,3520000.0,5500000.0,Parma Calcio 1913,Midfielder - Defensive Midfield,Defensive Midfield,1,26.0,1.88,Italy,both,unknown,unknown,Serie A,1,30.06.2023,34,1,4,10,0,0,2579,0,0,26,1,5,0,0,0,0,2,1452,Brazil,0
1436,GastÃ³n Brugman,2200000.0,3080000.0,Parma Calcio 1913,Midfielder - Defensive Midfield,Defensive Midfield,1,27.0,1.75,Italy,right,PLAYER MANAGEMENT SRL,adidas,Serie A,0,30.06.2022,25,0,3,5,0,0,1643,0,0,35,5,8,0,0,0,0,7,3163,Uruguay,1
1437,Matteo Scozzarella,880000.0,1100000.0,Parma Calcio 1913,Midfielder - Defensive Midfield,Defensive Midfield,1,32.0,1.7,Italy,right,AC Sport Consulting,unknown,Serie A,0,30.06.2021,17,0,3,2,0,0,995,0,0,22,0,8,0,0,0,0,3,1468,Italy,0
1438,Alberto Grassi,6050000.0,7700000.0,Parma Calcio 1913,Midfielder - Central Midfield,Central Midfield,1,25.0,1.83,Italy,right,M.A.R.A.T. Football Management,unknown,Serie A,1,30.06.2024,17,1,2,7,0,0,660,0,0,7,0,0,0,0,0,0,0,462,Italy,0
1439,Juraj Kucka,4400000.0,9900000.0,Parma Calcio 1913,Midfielder - Central Midfield,Central Midfield,1,33.0,1.86,Italy,right,Stars & Friends,Nike,Serie A,0,30.06.2022,28,6,4,5,0,1,2049,0,0,28,4,8,1,0,0,0,3,1964,Slovakia,0
1440,Jasmin Kurtic,3850000.0,7700000.0,Parma Calcio 1913,Midfielder - Central Midfield,Central Midfield,1,31.0,1.86,Italy,right,AR Sport Management,Puma,Serie A,1,31.08.2020,39,4,1,10,0,0,3277,0,0,31,6,9,0,0,0,0,5,2580,Slovenia,0
1441,Antonino BarillÃ ,1320000.0,1980000.0,Parma Calcio 1913,Midfielder - Central Midfield,Central Midfield,1,32.0,1.8,Italy,left,Football Service,unknown,Serie A,0,30.06.2022,29,1,3,6,0,0,1936,0,0,32,3,10,0,0,0,0,2,2712,Italy,0
1442,Abdou Diakhate,330000.0,880000.0,Parma Calcio 1913,Midfielder - Central Midfield,Central Midfield,1,21.0,1.93,Italy,right,Gabriele Savino,unknown,Serie A,0,30.06.2023,11,0,0,1,0,0,321,0,0,2,0,1,0,0,0,0,0,90,Senegal,0
1443,Gervinho,6050000.0,20350000.0,Parma Calcio 1913,Forward - Left Winger,Left Winger,1,33.0,1.79,Italy,right,not clarified,Nike,Serie A,0,30.06.2022,32,9,4,3,0,0,2357,0,0,30,11,3,0,0,0,0,3,2310,Cote d'Ivoire,0
1444,Dejan Kulusevski,34650000.0,38500000.0,Parma Calcio 1913,Forward - Right Winger,Right Winger,1,20.0,1.86,Italy,left,unknown,unknown,Serie A,1,31.08.2020,39,10,9,3,0,0,3064,0,0,26,11,5,0,0,0,0,14,2082,Sweden,1
1445,Yann Karamoh,9900000.0,11000000.0,Parma Calcio 1913,Forward - Right Winger,Right Winger,1,22.0,1.85,Italy,right,Relatives,unknown,Serie A,1,30.06.2023,15,1,1,0,0,0,582,0,0,33,3,3,0,0,0,0,3,1677,France,1
1446,Mattia Sprocati,1540000.0,1980000.0,Parma Calcio 1913,Forward - Right Winger,Right Winger,1,27.0,1.78,Italy,both,M.A.R.A.T. Football Management,unknown,Serie A,0,30.06.2023,21,1,0,0,0,0,664,0,0,16,1,0,0,0,0,0,0,636,Italy,0
1447,Luca Siligardi,605000.0,3300000.0,Parma Calcio 1913,Forward - Right Winger,Right Winger,1,32.0,1.8,Italy,left,eightyfive sa,unknown,Serie A,0,30.06.2022,14,1,1,0,0,0,511,0,0,29,1,2,0,0,0,0,2,1642,Italy,0
1448,Gianluca Caprari,7150000.0,11000000.0,Parma Calcio 1913,Forward - Second Striker,Second Striker,1,27.0,1.71,Italy,right,Reset Group Srl,unknown,Serie A,1,31.08.2020,32,6,0,4,1,0,1394,0,0,24,6,1,0,0,0,0,2,1158,Italy,0
1449,Roberto Inglese,13200000.0,16500000.0,Parma Calcio 1913,Forward - Centre-Forward,Centre-Forward,1,28.0,1.86,Italy,right,Sopranzi Samuele,adidas,Serie A,1,30.06.2024,19,4,1,1,0,0,897,0,0,25,9,3,0,0,0,0,2,1968,Italy,0
1450,Andreas Cornelius,8800000.0,11000000.0,Parma Calcio 1913,Forward - Centre-Forward,Centre-Forward,0,27.0,1.93,Italy,left,Players Promotion,Nike,Serie A,1,30.06.2021,27,12,4,1,0,0,1534,0,0,33,4,4,0,0,0,0,2,1239,Denmark,0
1451,Andrea Adorante,495000.0,550000.0,Parma Calcio 1913,Forward - Centre-Forward,Centre-Forward,1,20.0,1.84,Italy,right,Dodici,Nike,Serie A,0,30.06.2023,4,1,0,0,0,0,271,0,0,28,13,3,0,0,0,0,3,1585,Italy,0
1452,Lukasz Skorupski,6050000.0,7700000.0,Bologna FC 1909,Goalkeeper,Goalkeeper,0,29.0,1.87,Italy,right,GG11 s.r.l.,unknown,Serie A,0,30.06.2023,38,0,0,2,0,0,3420,64,3,39,0,1,0,0,56,11,0,3510,Poland,0
1453,Angelo da Costa,220000.0,1100000.0,Bologna FC 1909,Goalkeeper,Goalkeeper,0,36.0,1.86,Italy,right,Oscar Damiani,Mizuno,Serie A,0,30.06.2021,2,0,0,1,0,0,180,5,0,2,0,0,0,0,2,1,0,180,Brazil,1
1454,Mouhamadou Sarr,110000.0,110000.0,Bologna FC 1909,Goalkeeper,Goalkeeper,0,23.0,1.9,Italy,right,Francesco Romano,unknown,Serie A,0,31.08.2020,0,0,0,0,0,0,0,0,0,25,0,1,0,1,24,9,0,2181,Senegal,1
1456,Stefano Denswil,5280000.0,6600000.0,Bologna FC 1909,Defender - Centre-Back,Centre-Back,1,27.0,1.88,Italy,left,Winny Haatrecht,Nike,Serie A,0,30.06.2022,28,0,1,5,1,0,2421,0,0,44,2,11,0,0,0,0,1,3852,Netherlands,1
1457,Mattia Bani,2640000.0,3300000.0,Bologna FC 1909,Defender - Centre-Back,Centre-Back,1,26.0,1.88,Italy,right,unknown,unknown,Serie A,0,30.06.2023,27,4,0,10,1,0,2211,0,0,31,0,7,1,0,0,0,0,2627,Italy,0
1458,Arturo Calabresi,2420000.0,3080000.0,Bologna FC 1909,Defender - Centre-Back,Centre-Back,1,24.0,1.86,Italy,right,Branchini Associati S.p.A.,unknown,Serie A,0,30.06.2022,25,1,1,7,0,0,2194,0,0,21,1,8,0,0,0,0,0,1683,Italy,0
1459,Gabriele Corbo,798000.0,880000.0,Bologna FC 1909,Defender - Centre-Back,Centre-Back,1,20.0,1.86,Italy,right,unknown,unknown,Serie A,0,30.06.2023,6,0,0,2,0,0,481,0,0,19,2,4,0,0,0,0,1,1530,Italy,0
1460,Danilo,605000.0,8250000.0,Bologna FC 1909,Defender - Centre-Back,Centre-Back,0,36.0,1.85,Italy,right,unknown,Lotto,Serie A,0,30.06.2021,31,2,0,9,1,0,2732,0,0,36,1,4,0,0,0,0,0,3170,Brazil,1
1461,Mitchell Dijks,4400000.0,5500000.0,Bologna FC 1909,Defender - Left-Back,Left-Back,1,27.0,1.94,Italy,left,ESA Soccer,Nike,Serie A,0,30.06.2023,14,0,0,5,0,0,1097,0,0,28,2,5,0,1,0,0,0,2292,Netherlands,0
1462,Takehiro Tomiyasu,14850000.0,16500000.0,Bologna FC 1909,Defender - Right-Back,Right-Back,1,21.0,1.88,Italy,both,UDN SPORTS,unknown,Serie A,0,30.06.2024,30,1,3,8,0,0,2622,0,0,40,1,5,0,0,0,0,0,3600,Japan,0
1463,Ibrahima Mbaye,2640000.0,7150000.0,Bologna FC 1909,Defender - Right-Back,Right-Back,1,25.0,1.88,Italy,right,Giuseppe Accardi,Puma,Serie A,0,30.06.2023,21,0,4,5,0,0,1596,0,0,25,2,5,0,0,0,0,0,2102,Senegal,0
1464,Gary Medel,2640000.0,14300000.0,Bologna FC 1909,Midfielder - Defensive Midfield,Defensive Midfield,1,33.0,1.71,Italy,right,Fernando Felicevich,Nike,Serie A,0,30.06.2022,26,0,0,10,0,1,2015,0,0,35,0,11,1,0,0,0,0,2826,Chile,1
1465,NicolÃ¡s DomÃ­nguez,17050000.0,19250000.0,Bologna FC 1909,Midfielder - Central Midfield,Central Midfield,1,22.0,1.79,Italy,right,M Sab,Nike,Serie A,0,30.06.2024,30,5,2,5,1,0,1931,0,0,29,3,6,0,0,0,0,2,2545,Argentina,1
1466,Roberto Soriano,7150000.0,17600000.0,Bologna FC 1909,Midfielder - Central Midfield,Central Midfield,1,29.0,1.82,Italy,right,TMP SOCCER srl,unknown,Serie A,0,30.06.2023,30,5,10,4,0,2,2570,0,0,30,3,8,0,0,0,0,2,2124,Italy,1
1467,Mattias Svanberg,5500000.0,6050000.0,Bologna FC 1909,Midfielder - Central Midfield,Central Midfield,1,21.0,1.85,Italy,right,MD Management,unknown,Serie A,0,30.06.2023,27,1,1,2,0,0,1152,0,0,24,0,2,0,0,0,0,2,1236,Sweden,0
